utt_id,spk_id,demog,gender,speaking_style,duration,num_samples,filepath,transcription
N000160-fn000373-140.2992-141.8942,N000160,DT,f,read,['1.595'],['25520'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-140.2992-141.8942.wav'],voor jouw nummer aan de beurt is
N000160-fn000373-141.8942-143.6660,N000160,DT,f,read,['1.771813'],['28349'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-141.8942-143.6660.wav'],kun je wel even een boodschap gaan doen
N000160-fn000373-143.6660-145.7397,N000160,DT,f,read,['2.073688'],['33179'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-143.6660-145.7397.wav'],maar niet te lang want als jouw nummer geweest is
N000160-fn000373-145.7397-147.2491,N000160,DT,f,read,['1.509437'],['24150'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-145.7397-147.2491.wav'],moet je weer een nieuw nummer trekken
N000160-fn000373-15.8664-17.9327,N000160,DT,f,read,['2.066313'],['33061'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-15.8664-17.9327.wav'],elk jaar hun verjaardag en hun trouwdag
N000160-fn000373-150.7494-153.8171,N000160,DT,f,read,['3.06775'],['49083'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-150.7494-153.8171.wav'],het nedel het nederlands heeft een apart woord voor gezin
N000160-fn000373-153.8171-155.9645,N000160,DT,f,read,['2.147375'],['34359'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-153.8171-155.9645.wav'],een gezin bestaat uit ouders en kinderen
N000160-fn000373-155.9645-158.9634,N000160,DT,f,read,['2.998875'],['47982'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-155.9645-158.9634.wav'],ze wonen bijna altijd apart van de rest van de familie
N000160-fn000373-158.9634-160.4359,N000160,DT,f,read,['1.4725'],['23560'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-158.9634-160.4359.wav'],de familie is veel groter
N000160-fn000373-160.4359-161.7980,N000160,DT,f,read,['1.362125'],['21794'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-160.4359-161.7980.wav'],opa's en oma's
N000160-fn000373-161.7980-163.3196,N000160,DT,f,read,['1.521625'],['24345'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-161.7980-163.3196.wav'],tantes en ooms
N000160-fn000373-163.3196-164.8167,N000160,DT,f,read,['1.497062'],['23954'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-163.3196-164.8167.wav'],neven en nichten
N000160-fn000373-164.8167-167.6758,N000160,DT,f,read,['2.859125'],['45745'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-164.8167-167.6758.wav'],in nederland zijn vooral de relaties binnen het gezin belangrijk
N000160-fn000373-17.9327-20.4114,N000160,DT,f,read,['2.478688'],['39659'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-17.9327-20.4114.wav'],een verjaardag vieren ze meestal thuis met het gezin
N000160-fn000373-170.7237-172.7239,N000160,DT,f,read,['2.000187'],['32003'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-170.7237-172.7239.wav'],nederlanders praten veel over het weer
N000160-fn000373-172.7239-174.6873,N000160,DT,f,read,['1.963438'],['31414'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-172.7239-174.6873.wav'],omdat het weer vaak verandert en
N000160-fn000373-174.6873-176.4911,N000160,DT,f,read,['1.803813'],['28861'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-174.6873-176.4911.wav'],zeker is wat voor
N000160-fn000373-176.4911-177.7843,N000160,DT,f,read,['1.293187'],['20691'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-176.4911-177.7843.wav'],weer het is in
N000160-fn000373-177.7843-179.7231,N000160,DT,f,read,['1.938812'],['31021'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-177.7843-179.7231.wav'],de lente zomer herfst of winter
N000160-fn000373-180.1649-181.9810,N000160,DT,f,read,['1.816125'],['29058'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-180.1649-181.9810.wav'],er zijn veel uitdrukkingen die met het
N000160-fn000373-181.9810-183.7112,N000160,DT,f,read,['1.730188'],['27683'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-181.9810-183.7112.wav'],vaak onzekere weer te maken hebben
N000160-fn000373-184.0425-186.2022,N000160,DT,f,read,['2.159688'],['34555'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-184.0425-186.2022.wav'],bijvoorbeeld het kan vriezen en het kan dooien
N000160-fn000373-186.6241-189.3237,N000160,DT,f,read,['2.699563'],['43194'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-186.6241-189.3237.wav'],dat betekent dat je nog niet weet hoe iets zal gaan
N000160-fn000373-192.0479-194.0481,N000160,DT,f,read,['2.00025'],['32003'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-192.0479-194.0481.wav'],gedichten gaan vaak over de liefde
N000160-fn000373-194.4332-196.5806,N000160,DT,f,read,['2.147438'],['34358'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-194.4332-196.5806.wav'],dichters vertellen graag over hun geliefde
N000160-fn000373-196.5806-198.0041,N000160,DT,f,read,['1.4235'],['22776'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-196.5806-198.0041.wav'],een dichter kan ik weinig
N000160-fn000373-198.0041-199.4889,N000160,DT,f,read,['1.48475'],['23757'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-198.0041-199.4889.wav'],woorden zijn gevoel uitdrukken
N000160-fn000373-199.8202-201.5995,N000160,DT,f,read,['1.779312'],['28469'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-199.8202-201.5995.wav'],of een idee of iets grappigs
N000160-fn000373-20.4114-22.3625,N000160,DT,f,read,['1.951125'],['31218'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-20.4114-22.3625.wav'],met een paar vrienden of met familie
N000160-fn000373-201.5995-203.1994,N000160,DT,f,read,['1.599875'],['25598'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-201.5995-203.1994.wav'],liedjes lijken op gedichten
N000160-fn000373-203.1994-206.2794,N000160,DT,f,read,['3.08'],['49280'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-203.1994-206.2794.wav'],de vorm is hetzelfde en ze gaan ook vaak over de liefde
N000160-fn000373-206.2794-209.0404,N000160,DT,f,read,['2.761'],['44176'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-206.2794-209.0404.wav'],in liedjes gaat het natuurlijk om meer dan alleen de woorden
N000160-fn000373-209.0404-210.7407,N000160,DT,f,read,['1.700312'],['27205'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-209.0404-210.7407.wav'],de muziek en de stem van de zanger
N000160-fn000373-210.7407-212.4098,N000160,DT,f,read,['1.669125'],['26705'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-210.7407-212.4098.wav'],zijn net zo belangrijk als de tekst
N000160-fn000373-215.7642-217.9975,N000160,DT,f,read,['2.233313'],['35733'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-215.7642-217.9975.wav'],on-rijpe pruimen zijn hard en zuur
N000160-fn000373-217.9975-219.5805,N000160,DT,f,read,['1.583'],['25328'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-217.9975-219.5805.wav'],de bus komt er zo aan
N000160-fn000373-219.5805-221.1880,N000160,DT,f,read,['1.6075'],['25720'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-219.5805-221.1880.wav'],moet je nog veel slingers ophangen
N000160-fn000373-22.3625-25.3321,N000160,DT,f,read,['2.969625'],['47513'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-22.3625-25.3321.wav'],op de jaarlijkse trouwdag krijgt de vrouw vaak een bos bloemen
N000160-fn000373-221.1880-222.8814,N000160,DT,f,read,['1.693375'],['27094'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-221.1880-222.8814.wav'],ik vind appelsap niet lekker
N000160-fn000373-222.8814-225.7207,N000160,DT,f,read,['2.839313'],['45429'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-222.8814-225.7207.wav'],er zit al een flinke deuk in je nieuwe auto
N000160-fn000373-228.3099-230.7198,N000160,DT,f,read,['2.409937'],['38558'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-228.3099-230.7198.wav'],op een druk station moet je op je bagage letten
N000160-fn000373-230.7198-232.6708,N000160,DT,f,read,['1.951'],['31216'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-230.7198-232.6708.wav'],ik draag een oranje trui met lange mouwen
N000160-fn000373-232.9899-234.5483,N000160,DT,f,read,['1.558437'],['24934'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-232.9899-234.5483.wav'],het leven wordt steeds duurder
N000160-fn000373-234.5483-236.5976,N000160,DT,f,read,['2.049313'],['32789'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-234.5483-236.5976.wav'],de man van mijn zus fietst elke dag
N000160-fn000373-236.5976-238.9536,N000160,DT,f,read,['2.356'],['37696'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-236.5976-238.9536.wav'],haar lieve kinderen krijgen leuke cadeautjes
N000160-fn000373-241.3021-243.1673,N000160,DT,f,read,['1.865188'],['29843'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-241.3021-243.1673.wav'],ik wou al om half drie hier zijn
N000160-fn000373-243.1673-245.1306,N000160,DT,f,read,['1.963313'],['31413'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-243.1673-245.1306.wav'],om alles in de etalage te zetten
N000160-fn000373-245.1306-247.7075,N000160,DT,f,read,['2.576875'],['41231'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-245.1306-247.7075.wav'],de voetballer belooft zijn contractuele
N000160-fn000373-247.7075-250.5101,N000160,DT,f,read,['2.802625'],['44841'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-247.7075-250.5101.wav'],contractuele verplichtingen na te komen
N000160-fn000373-25.3321-27.3568,N000160,DT,f,read,['2.024688'],['32395'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-25.3321-27.3568.wav'],of gaat ze met haar man in een restaurant eten
N000160-fn000373-250.8659-253.2833,N000160,DT,f,read,['2.417438'],['38678'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-250.8659-253.2833.wav'],de juffrouw rust een middag uit en doet een dutje
N000160-fn000373-253.2833-255.2344,N000160,DT,f,read,['1.951062'],['31218'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-253.2833-255.2344.wav'],de chauffeur tracht met wilde bewegingen
N000160-fn000373-255.2344-256.7437,N000160,DT,f,read,['1.509313'],['24149'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-255.2344-256.7437.wav'],de kuilen in de weg te omzeilen
N000160-fn000373-257.1534-258.9818,N000160,DT,f,read,['1.828437'],['29254'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-257.1534-258.9818.wav'],de huiseigenaar kwam aan de deur om
N000160-fn000373-259.4358-260.6015,N000160,DT,f,read,['1.165687'],['18652'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-259.4358-260.6015.wav'],om de huur op te halen
N000160-fn000373-263.8779-266.1725,N000160,DT,f,read,['2.294625'],['36714'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-263.8779-266.1725.wav'],vitrage is een heel ouderwets en past niet
N000160-fn000373-266.1725-267.7234,N000160,DT,f,read,['1.550875'],['24814'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-266.1725-267.7234.wav'],bij een modern interieur
N000160-fn000373-268.0793-269.2450,N000160,DT,f,read,['1.165687'],['18652'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-268.0793-269.2450.wav'],de nederlandse gulden is al
N000160-fn000373-269.5518-272.0428,N000160,DT,f,read,['2.491'],['39856'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-269.5518-272.0428.wav'],lang even hard als de duitse mark
N000160-fn000373-272.7054-275.3555,N000160,DT,f,read,['2.650125'],['42402'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-272.7054-275.3555.wav'],een bekertje warme chocolademelk moet je wel lusten
N000160-fn000373-275.3555-276.4599,N000160,DT,f,read,['1.104375'],['17670'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-275.3555-276.4599.wav'],door jouw gezeur
N000160-fn000373-276.4599-278.9387,N000160,DT,f,read,['2.478812'],['39661'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-276.4599-278.9387.wav'],zijn we nu al meer dan een uur te laat voor die afspraak
N000160-fn000373-279.2700-280.8177,N000160,DT,f,read,['1.547688'],['24763'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-279.2700-280.8177.wav'],met een flinke garage erbij
N000160-fn000373-280.8177-282.3885,N000160,DT,f,read,['1.570812'],['25133'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-280.8177-282.3885.wav'],moet je genoeg opbergruimte hebben
N000160-fn000373-285.3137-287.9519,N000160,DT,f,read,['2.638187'],['42211'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-285.3137-287.9519.wav'],een foutje van de stuurman heeft het schip doen kapseizen
N000160-fn000373-288.4673-290.6516,N000160,DT,f,read,['2.184313'],['34949'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-288.4673-290.6516.wav'],gelokt door een stukje kaas liep het muisje
N000160-fn000373-290.6516-291.8541,N000160,DT,f,read,['1.2025'],['19240'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-290.6516-291.8541.wav'],keurig in de val
N000160-fn000373-292.3129-294.1167,N000160,DT,f,read,['1.803813'],['28861'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-292.3129-294.1167.wav'],het ziet ernaar uit dat
N000160-fn000373-294.1167-296.0923,N000160,DT,f,read,['1.975625'],['31609'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-294.1167-296.0923.wav'],het deze week bij ons opnieuw gaat regenen
N000160-fn000373-296.4359-299.0643,N000160,DT,f,read,['2.628438'],['42054'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-296.4359-299.0643.wav'],na die gr grote lekkage was het dure behang
N000160-fn000373-299.0643-299.8595,N000160,DT,f,read,['0.7951875'],['12724'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-299.0643-299.8595.wav'],aan vervanging toe
N000160-fn000373-300.2447-302.1099,N000160,DT,f,read,['1.865188'],['29843'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-300.2447-302.1099.wav'],geduldig hou ik de deur voor je open
N000160-fn000373-304.5518-307.0796,N000160,DT,f,read,['2.527812'],['40445'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-304.5518-307.0796.wav'],het ongeluk veroorzaakte een enorme ravage
N000160-fn000373-307.0796-308.1963,N000160,DT,f,read,['1.116688'],['17867'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-307.0796-308.1963.wav'],honderden auto's
N000160-fn000373-308.1963-308.8851,N000160,DT,f,read,['0.6888125'],['11021'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-308.1963-308.8851.wav'],gedrukt
N000160-fn000373-309.4864-310.9023,N000160,DT,f,read,['1.415938'],['22654'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-309.4864-310.9023.wav'],de socialistische premier
N000160-fn000373-31.3496-34.1715,N000160,DT,f,read,['2.821875'],['45151'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-31.3496-34.1715.wav'],de prijs van een heleboel dingen in nederland is vast
N000160-fn000373-310.9023-312.9883,N000160,DT,f,read,['2.086'],['33376'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-310.9023-312.9883.wav'],moest zijn zwaarste wapen uit de kast halen
N000160-fn000373-313.3565-314.8290,N000160,DT,f,read,['1.4725'],['23560'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-313.3565-314.8290.wav'],zij blijven het flatje huren
N000160-fn000373-314.8290-316.4365,N000160,DT,f,read,['1.6075'],['25720'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-314.8290-316.4365.wav'],tot ze een leuk huis hebben gevonden
N000160-fn000373-316.4365-318.4980,N000160,DT,f,read,['2.0615'],['32984'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-316.4365-318.4980.wav'],de beurs is van plan om het bedrijf in
N000160-fn000373-318.4980-320.3572,N000160,DT,f,read,['1.859187'],['29747'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-318.4980-320.3572.wav'],juni negentien vier en negentig
N000160-fn000373-320.3572-321.8542,N000160,DT,f,read,['1.497'],['23952'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-320.3572-321.8542.wav'],uit de notering te halen
N000160-fn000373-321.8542-322.8159,N000160,DT,f,read,['0.9616875'],['15387'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-321.8542-322.8159.wav'],de toekomst van jeroen
N000160-fn000373-322.8159-324.8974,N000160,DT,f,read,['2.0815'],['33304'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-322.8159-324.8974.wav'],is door zijn ouders al helemaal uitgestippeld
N000160-fn000373-34.1715-36.4539,N000160,DT,f,read,['2.282375'],['36518'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-34.1715-36.4539.wav'],dat betekent dat je niet kunt praten met de verkoper
N000160-fn000373-36.4539-37.7914,N000160,DT,f,read,['1.3375'],['21400'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-36.4539-37.7914.wav'],over een lagere prijs
N000160-fn000373-37.7914-39.6217,N000160,DT,f,read,['1.830312'],['29285'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-37.7914-39.6217.wav'],bij sommige dingen is het heel duidelijk
N000160-fn000373-39.6217-41.8673,N000160,DT,f,read,['2.245625'],['35929'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-39.6217-41.8673.wav'],voor groente of fruit kleren en andere
N000160-fn000373-42.3384-44.6330,N000160,DT,f,read,['2.294625'],['36714'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-42.3384-44.6330.wav'],niet zo grote en dure artikelen
N000160-fn000373-44.6330-47.0504,N000160,DT,f,read,['2.417375'],['38678'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-44.6330-47.0504.wav'],betaal je gewoon de prijs die erop staat
N000160-fn000373-47.0504-49.5414,N000160,DT,f,read,['2.491'],['39856'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-47.0504-49.5414.wav'],of die de erko of die de verkoper ervoor vraagt
N000160-fn000373-54.4668-56.5406,N000160,DT,f,read,['2.073812'],['33181'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-54.4668-56.5406.wav'],dit is niet zo bij spullen die niet nieuw zijn
N000160-fn000373-56.5406-57.5223,N000160,DT,f,read,['0.9816875'],['15707'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-56.5406-57.5223.wav'],tweedehands spullen
N000160-fn000373-57.8904-60.7788,N000160,DT,f,read,['2.888438'],['46214'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-57.8904-60.7788.wav'],daarbij is het juist heel normaal als je probeert minder te betalen
N000160-fn000373-60.7788-62.2057,N000160,DT,f,read,['1.426875'],['22831'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-60.7788-62.2057.wav'],ook bij tweedehands auto's
N000160-fn000373-62.2057-64.9264,N000160,DT,f,read,['2.720687'],['43531'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-62.2057-64.9264.wav'],is de vraagprijs nooit de prijs die je er echt voor betaalt
N000160-fn000373-64.9264-66.3130,N000160,DT,f,read,['1.386625'],['22186'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-64.9264-66.3130.wav'],je betaalt altijd minder
N000160-fn000373-66.8039-67.8837,N000160,DT,f,read,['1.079813'],['17277'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-66.8039-67.8837.wav'],of je er nog gratis
N000160-fn000373-68.6125-71.5084,N000160,DT,f,read,['2.895875'],['46334'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-68.6125-71.5084.wav'],of je vraagt er nog gratis spullen bij zoals een cd-speler
N000160-fn000373-75.0056-77.1040,N000160,DT,f,read,['2.098375'],['33575'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-75.0056-77.1040.wav'],post kun je versturen via de brievenbus
N000160-fn000373-77.4769-80.2624,N000160,DT,f,read,['2.7855'],['44568'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-77.4769-80.2624.wav'],als je een brief voor 's avonds zes uur op de bus doet
N000160-fn000373-80.2624-82.9620,N000160,DT,f,read,['2.699625'],['43194'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-80.2624-82.9620.wav'],komt de brief binnen nederland de volgende dag aan
N000160-fn000373-82.9620-84.7781,N000160,DT,f,read,['1.816125'],['29057'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-82.9620-84.7781.wav'],post die niet in de brievenbus past
N000160-fn000373-84.7781-86.2431,N000160,DT,f,read,['1.465'],['23440'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-84.7781-86.2431.wav'],verstuur je in een pakket
N000160-fn000373-86.2431-88.6850,N000160,DT,f,read,['2.441875'],['39071'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-86.2431-88.6850.wav'],pakketten zijn er in verschillende soorten en maten
N000160-fn000373-88.6850-90.5747,N000160,DT,f,read,['1.889688'],['30235'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-88.6850-90.5747.wav'],je kunt ze voor allerlei dingen gebruiken
N000160-fn000373-94.5661-96.5294,N000160,DT,f,read,['1.96325'],['31413'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-94.5661-96.5294.wav'],een gemeente is een stad of een dorp
N000160-fn000373-96.5294-98.3087,N000160,DT,f,read,['1.779312'],['28469'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-96.5294-98.3087.wav'],of een paar kleine dorpen samen
N000160-fn000373-98.3087-100.6695,N000160,DT,f,read,['2.360812'],['37773'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-98.3087-100.6695.wav'],ambtenaren van de gemeente controleren of
N000161-fn000377-105.2231-107.7272,N000161,DT,m,read,['2.504062'],['40066'],['dump/raw/nl_test_read_all_hires/data/format.6/N000161-fn000377-105.2231-107.7272.wav'],een gemeente is een stad of een dorp
N000161-fn000377-107.7272-109.8430,N000161,DT,m,read,['2.115813'],['33853'],['dump/raw/nl_test_read_all_hires/data/format.6/N000161-fn000377-107.7272-109.8430.wav'],of een paar kleine dorpen samen
N000161-fn000377-109.8430-111.3507,N000161,DT,m,read,['1.507687'],['24123'],['dump/raw/nl_test_read_all_hires/data/format.6/N000161-fn000377-109.8430-111.3507.wav'],ambtenaren van de gemeente
N000161-fn000377-11.0188-11.8105,N000161,DT,m,read,['0.7916875'],['12668'],['dump/raw/nl_test_read_all_hires/data/format.6/N000161-fn000377-11.0188-11.8105.wav'],ggg
